,Branded.clothing,Entertainment.spending,Finances,Shopping.centres,Spending.on.gadgets,Spending.on.healthy.eating,Spending.on.looks
1,5.0,3.0,3.0,4.0,1.0,3.0,3.0
4,3.0,3.0,2.0,4.0,4.0,1.0,4.0
5,4.0,3.0,4.0,3.0,2.0,4.0,3.0
7,1.0,3.0,4.0,3.0,1.0,5.0,4.0
8,4.0,4.0,3.0,4.0,3.0,2.0,4.0
10,4.0,2.0,4.0,4.0,2.0,4.0,3.0
11,2.0,3.0,2.0,4.0,2.0,2.0,4.0
14,2.0,3.0,3.0,5.0,3.0,3.0,4.0
15,1.0,5.0,5.0,3.0,1.0,4.0,5.0
17,4.0,3.0,3.0,4.0,3.0,3.0,3.0
18,2.0,3.0,1.0,5.0,2.0,5.0,2.0
24,4.0,3.0,2.0,3.0,2.0,4.0,4.0
26,1.0,3.0,2.0,5.0,1.0,2.0,3.0
28,3.0,3.0,3.0,4.0,2.0,3.0,3.0
29,5.0,3.0,3.0,4.0,1.0,5.0,4.0
33,1.0,4.0,1.0,3.0,1.0,1.0,5.0
35,4.0,3.0,3.0,3.0,1.0,2.0,3.0
36,3.0,5.0,3.0,5.0,1.0,3.0,3.0
37,4.0,4.0,5.0,4.0,2.0,3.0,3.0
40,3.0,1.0,3.0,5.0,3.0,2.0,3.0
41,1.0,1.0,3.0,5.0,2.0,2.0,5.0
45,3.0,3.0,4.0,4.0,3.0,4.0,5.0
47,3.0,3.0,3.0,3.0,3.0,2.0,4.0
49,3.0,3.0,4.0,4.0,3.0,4.0,3.0
50,1.0,3.0,4.0,5.0,5.0,2.0,3.0
51,3.0,2.0,4.0,2.0,2.0,4.0,4.0
54,3.0,3.0,3.0,5.0,2.0,1.0,1.0
56,3.0,3.0,5.0,3.0,3.0,3.0,4.0
58,4.0,5.0,5.0,3.0,2.0,4.0,5.0
59,2.0,4.0,5.0,4.0,2.0,5.0,2.0
60,3.0,3.0,1.0,4.0,2.0,4.0,2.0
63,3.0,3.0,3.0,3.0,2.0,3.0,3.0
71,2.0,3.0,3.0,3.0,3.0,3.0,3.0
74,4.0,4.0,3.0,5.0,2.0,2.0,4.0
75,5.0,1.0,5.0,2.0,1.0,1.0,5.0
80,3.0,2.0,4.0,4.0,2.0,5.0,5.0
81,1.0,2.0,3.0,4.0,1.0,3.0,3.0
89,5.0,3.0,1.0,5.0,2.0,2.0,2.0
92,5.0,5.0,5.0,5.0,2.0,2.0,3.0
93,4.0,2.0,4.0,4.0,4.0,4.0,3.0
95,4.0,2.0,3.0,5.0,5.0,2.0,3.0
99,4.0,3.0,3.0,4.0,1.0,5.0,1.0
100,2.0,2.0,4.0,4.0,3.0,4.0,2.0
101,1.0,2.0,4.0,4.0,3.0,3.0,4.0
103,3.0,3.0,3.0,3.0,3.0,3.0,3.0
111,4.0,3.0,4.0,4.0,2.0,3.0,2.0
115,3.0,3.0,4.0,5.0,3.0,3.0,3.0
125,3.0,3.0,3.0,3.0,3.0,5.0,4.0
126,2.0,4.0,3.0,4.0,2.0,4.0,4.0
129,3.0,5.0,5.0,5.0,2.0,5.0,3.0
130,3.0,3.0,3.0,4.0,3.0,2.0,3.0
133,3.0,1.0,5.0,4.0,2.0,2.0,2.0
134,4.0,2.0,2.0,5.0,1.0,2.0,2.0
147,5.0,4.0,5.0,4.0,3.0,4.0,3.0
156,3.0,3.0,5.0,5.0,4.0,3.0,5.0
157,1.0,4.0,4.0,5.0,1.0,4.0,4.0
160,3.0,3.0,3.0,3.0,3.0,3.0,3.0
162,2.0,2.0,3.0,5.0,2.0,5.0,4.0
163,3.0,2.0,4.0,2.0,2.0,4.0,4.0
164,3.0,4.0,3.0,3.0,2.0,4.0,3.0
166,4.0,4.0,3.0,5.0,2.0,3.0,4.0
174,3.0,2.0,3.0,4.0,5.0,4.0,2.0
175,4.0,1.0,3.0,4.0,3.0,5.0,2.0
180,5.0,2.0,5.0,3.0,3.0,5.0,3.0
183,2.0,2.0,2.0,5.0,2.0,3.0,4.0
185,4.0,2.0,2.0,5.0,1.0,3.0,2.0
187,3.0,3.0,3.0,4.0,2.0,4.0,3.0
189,5.0,4.0,5.0,5.0,1.0,3.0,3.0
191,4.0,2.0,4.0,4.0,2.0,3.0,3.0
198,3.0,1.0,3.0,3.0,1.0,4.0,4.0
202,3.0,3.0,2.0,5.0,2.0,3.0,4.0
203,5.0,2.0,3.0,3.0,2.0,2.0,4.0
204,2.0,3.0,3.0,4.0,3.0,2.0,4.0
209,2.0,3.0,1.0,5.0,1.0,3.0,4.0
215,3.0,2.0,3.0,3.0,3.0,4.0,4.0
218,3.0,2.0,3.0,4.0,3.0,3.0,2.0
223,2.0,1.0,4.0,5.0,2.0,4.0,4.0
224,5.0,2.0,4.0,4.0,3.0,3.0,5.0
227,3.0,4.0,3.0,3.0,1.0,5.0,3.0
228,3.0,2.0,2.0,3.0,3.0,2.0,2.0
231,4.0,2.0,3.0,5.0,2.0,3.0,4.0
234,2.0,3.0,4.0,3.0,3.0,4.0,3.0
236,3.0,3.0,3.0,5.0,2.0,3.0,4.0
238,3.0,4.0,3.0,5.0,2.0,3.0,4.0
240,4.0,3.0,3.0,4.0,2.0,4.0,4.0
242,4.0,3.0,5.0,5.0,3.0,5.0,4.0
243,3.0,3.0,5.0,4.0,3.0,3.0,4.0
247,5.0,2.0,4.0,5.0,3.0,4.0,3.0
248,1.0,5.0,3.0,4.0,1.0,4.0,4.0
250,3.0,3.0,3.0,4.0,3.0,3.0,3.0
251,3.0,3.0,4.0,5.0,2.0,5.0,4.0
