,Age,Education,Gender,Only.child
13,24.0,0.0,0.0,0.0
22,24.0,1.0,1.0,0.0
31,25.0,1.0,1.0,0.0
34,27.0,3.0,0.0,0.0
39,23.0,1.0,0.0,0.0
41,26.0,1.0,0.0,0.0
45,25.0,3.0,0.0,0.0
46,27.0,3.0,1.0,0.0
56,23.0,0.0,0.0,0.0
61,23.0,0.0,1.0,0.0
62,23.0,1.0,1.0,0.0
63,23.0,1.0,1.0,0.0
68,24.0,0.0,0.0,1.0
73,28.0,1.0,0.0,0.0
79,24.0,0.0,0.0,0.0
87,24.0,3.0,1.0,0.0
94,24.0,3.0,1.0,0.0
106,24.0,0.0,1.0,0.0
119,23.0,0.0,1.0,0.0
121,23.0,0.0,1.0,1.0
123,23.0,3.0,0.0,1.0
153,25.0,0.0,1.0,0.0
155,24.0,0.0,1.0,0.0
157,25.0,4.0,1.0,1.0
158,26.0,3.0,1.0,0.0
175,26.0,1.0,1.0,1.0
178,26.0,3.0,1.0,0.0
182,23.0,1.0,1.0,1.0
187,29.0,3.0,0.0,0.0
192,29.0,3.0,0.0,0.0
194,26.0,3.0,1.0,0.0
205,24.0,0.0,0.0,0.0
207,25.0,0.0,1.0,0.0
211,23.0,1.0,1.0,0.0
216,27.0,1.0,1.0,0.0
220,26.0,1.0,1.0,0.0
222,30.0,3.0,1.0,0.0
223,24.0,1.0,0.0,0.0
227,25.0,1.0,-1.0,0.0
247,27.0,3.0,1.0,1.0
255,23.0,1.0,0.0,0.0
271,23.0,0.0,0.0,0.0
272,24.0,1.0,1.0,1.0
287,27.0,3.0,0.0,0.0
297,23.0,0.0,1.0,0.0
304,25.0,3.0,0.0,0.0
335,24.0,3.0,0.0,0.0
344,29.0,3.0,0.0,0.0
345,24.0,0.0,0.0,0.0
361,23.0,0.0,0.0,0.0
366,24.0,0.0,1.0,0.0
380,25.0,3.0,1.0,0.0
386,25.0,0.0,1.0,0.0
388,25.0,3.0,0.0,0.0
389,25.0,3.0,0.0,0.0
392,24.0,3.0,0.0,0.0
