,Branded.clothing,Entertainment.spending,Finances,Shopping.centres,Spending.on.gadgets,Spending.on.healthy.eating,Spending.on.looks
2,1.0,4.0,3.0,4.0,5.0,2.0,2.0
3,1.0,4.0,2.0,4.0,4.0,2.0,3.0
6,3.0,3.0,2.0,3.0,4.0,4.0,1.0
16,1.0,3.0,3.0,3.0,5.0,5.0,3.0
19,4.0,4.0,4.0,2.0,5.0,4.0,4.0
20,4.0,4.0,2.0,3.0,3.0,3.0,3.0
21,3.0,2.0,2.0,3.0,4.0,4.0,2.0
57,3.0,5.0,3.0,3.0,3.0,3.0,5.0
64,5.0,3.0,3.0,2.0,4.0,5.0,4.0
66,3.0,5.0,1.0,2.0,5.0,2.0,3.0
67,3.0,2.0,3.0,3.0,4.0,5.0,2.0
69,3.0,4.0,1.0,3.0,4.0,4.0,4.0
70,3.0,3.0,1.0,4.0,4.0,3.0,1.0
82,4.0,3.0,3.0,1.0,3.0,3.0,2.0
83,1.0,2.0,3.0,3.0,5.0,5.0,3.0
84,1.0,3.0,3.0,3.0,5.0,5.0,5.0
86,4.0,4.0,2.0,4.0,5.0,4.0,2.0
91,4.0,5.0,1.0,3.0,3.0,3.0,4.0
94,3.0,4.0,4.0,1.0,4.0,3.0,2.0
97,1.0,5.0,1.0,1.0,4.0,1.0,1.0
98,1.0,5.0,2.0,1.0,5.0,2.0,1.0
102,2.0,4.0,2.0,2.0,3.0,5.0,2.0
105,2.0,4.0,2.0,2.0,2.0,4.0,4.0
108,3.0,3.0,1.0,1.0,3.0,5.0,3.0
109,4.0,2.0,1.0,3.0,3.0,3.0,3.0
110,4.0,4.0,4.0,2.0,2.0,3.0,2.0
122,3.0,5.0,2.0,2.0,4.0,2.0,1.0
128,1.0,5.0,2.0,1.0,3.0,1.0,2.0
136,3.0,3.0,4.0,3.0,4.0,4.0,1.0
137,4.0,3.0,3.0,3.0,3.0,4.0,2.0
140,3.0,3.0,2.0,4.0,4.0,2.0,1.0
142,5.0,5.0,1.0,3.0,1.0,5.0,1.0
146,2.0,4.0,2.0,3.0,2.0,3.0,2.0
151,2.0,5.0,3.0,3.0,2.0,4.0,3.0
152,4.0,4.0,4.0,1.0,3.0,2.0,3.0
153,1.0,5.0,2.0,1.0,1.0,4.0,4.0
155,5.0,4.0,4.0,1.0,4.0,4.0,3.0
178,3.0,3.0,3.0,1.0,3.0,3.0,3.0
184,3.0,5.0,4.0,1.0,3.0,4.0,4.0
194,4.0,3.0,3.0,2.0,3.0,3.0,3.0
195,3.0,4.0,3.0,3.0,4.0,3.0,4.0
199,4.0,5.0,1.0,1.0,1.0,2.0,2.0
200,5.0,5.0,1.0,3.0,2.0,4.0,3.0
210,3.0,4.0,5.0,1.0,4.0,5.0,2.0
213,3.0,4.0,3.0,3.0,3.0,4.0,4.0
221,2.0,5.0,2.0,3.0,2.0,3.0,4.0
226,4.0,4.0,3.0,2.0,4.0,5.0,3.0
230,2.0,4.0,1.0,2.0,2.0,2.0,1.0
241,4.0,3.0,2.0,1.0,3.0,4.0,2.0
246,4.0,5.0,1.0,1.0,3.0,4.0,4.0
277,3.0,5.0,1.0,3.0,1.0,5.0,5.0
279,5.0,2.0,3.0,3.0,5.0,4.0,1.0
282,4.0,4.0,2.0,1.0,1.0,1.0,2.0
284,5.0,3.0,3.0,1.0,5.0,4.0,3.0
285,4.0,3.0,5.0,1.0,4.0,3.0,3.0
289,3.0,3.0,3.0,3.0,3.0,4.0,2.0
290,4.0,5.0,1.0,4.0,5.0,3.0,2.0
291,4.0,4.0,1.0,3.0,1.0,5.0,4.0
297,5.0,5.0,1.0,1.0,5.0,3.0,2.0
298,4.0,3.0,2.0,3.0,4.0,3.0,2.0
302,4.0,3.0,4.0,1.0,2.0,4.0,3.0
306,4.0,4.0,2.0,1.0,3.0,4.0,5.0
313,5.0,5.0,2.0,3.0,2.0,3.0,1.0
322,2.0,3.0,2.0,3.0,3.0,3.0,3.0
327,5.0,5.0,3.0,3.0,2.0,5.0,3.0
332,3.0,4.0,3.0,3.0,4.0,5.0,3.0
336,2.0,5.0,3.0,3.0,4.0,2.0,2.0
338,3.0,4.0,1.0,1.0,4.0,2.0,3.0
343,2.0,4.0,3.0,2.0,2.0,4.0,4.0
347,4.0,5.0,1.0,2.0,1.0,3.0,3.0
351,4.0,3.0,3.0,2.0,4.0,3.0,3.0
356,4.0,4.0,4.0,3.0,4.0,4.0,2.0
357,4.0,3.0,3.0,3.0,3.0,4.0,3.0
367,4.0,3.0,4.0,2.0,5.0,4.0,2.0
372,2.0,3.0,3.0,3.0,4.0,3.0,3.0
379,2.0,5.0,2.0,1.0,1.0,1.0,3.0
380,3.0,3.0,3.0,3.0,3.0,4.0,2.0
385,3.0,3.0,2.0,3.0,4.0,3.0,4.0
396,4.0,3.0,3.0,2.0,4.0,4.0,3.0
397,3.0,5.0,3.0,3.0,4.0,4.0,1.0
400,3.0,4.0,3.0,3.0,4.0,2.0,4.0
401,3.0,3.0,3.0,3.0,5.0,4.0,3.0
402,3.0,5.0,4.0,1.0,5.0,5.0,3.0
406,4.0,3.0,3.0,3.0,4.0,4.0,3.0
